approach,sample_size,repetition,trace_variants,deviating_traces,total_deviations,num_deviating_activities,fitness,time_partitioning,time_sampling,time_alignments
Longest,100,0,100,100,182,3,0.9838179069974216,0.0,0.1012270450592041,72.3108594417572
Longest,100,1,100,100,182,3,0.9838179069974216,0.0,0.11295843124389648,0.008652448654174805
Longest,100,2,100,100,182,3,0.9838179069974216,0.0,0.09510993957519531,0.010486602783203125
Longest,100,3,100,100,182,3,0.9838179069974216,0.0,0.09759330749511719,0.008727550506591797
Longest,100,4,100,100,182,3,0.9838179069974216,0.0,0.08818316459655762,0.00944209098815918
Longest,100,5,100,100,182,3,0.9838179069974216,0.0,0.0890662670135498,0.008560895919799805
Longest,100,6,100,100,182,3,0.9838179069974216,0.0,0.0876920223236084,0.00934743881225586
Longest,100,7,100,100,182,3,0.9838179069974216,0.0,0.08876562118530273,0.008769750595092773
Longest,100,8,100,100,182,3,0.9838179069974216,0.0,0.08857178688049316,0.008678674697875977
Longest,100,9,100,100,182,3,0.9838179069974216,0.0,0.08996438980102539,0.00866389274597168
Longest,200,0,200,200,351,3,0.9822026163675084,0.0,0.08849453926086426,37.48271203041077
Longest,200,1,200,200,351,3,0.9822026163675084,0.0,0.10646247863769531,0.014689445495605469
Longest,200,2,200,200,351,3,0.9822026163675084,0.0,0.08580708503723145,0.014354228973388672
Longest,200,3,200,200,351,3,0.9822026163675084,0.0,0.0851144790649414,0.014269828796386719
Longest,200,4,200,200,351,3,0.9822026163675084,0.0,0.086517333984375,0.01478123664855957
Longest,200,5,200,200,351,3,0.9822026163675084,0.0,0.08875083923339844,0.015335559844970703
Longest,200,6,200,200,351,3,0.9822026163675084,0.0,0.09092020988464355,0.014961481094360352
Longest,200,7,200,200,351,3,0.9822026163675084,0.0,0.08742022514343262,0.014328241348266602
Longest,200,8,200,200,351,3,0.9822026163675084,0.0,0.08590030670166016,0.014296770095825195
Longest,200,9,200,200,351,3,0.9822026163675084,0.0,0.08708477020263672,0.01471710205078125
Longest,300,0,300,299,516,3,0.9811417294057452,0.0,0.08994197845458984,31.26344394683838
Longest,300,1,300,299,516,3,0.9811417294057452,0.0,0.13186049461364746,0.02029871940612793
Longest,300,2,300,299,516,3,0.9811417294057452,0.0,0.08859443664550781,0.020398378372192383
Longest,300,3,300,299,516,3,0.9811417294057452,0.0,0.09066987037658691,0.020694255828857422
Longest,300,4,300,299,516,3,0.9811417294057452,0.0,0.08651971817016602,0.01968240737915039
Longest,300,5,300,299,516,3,0.9811417294057452,0.0,0.08504223823547363,0.019597530364990234
Longest,300,6,300,299,516,3,0.9811417294057452,0.0,0.08690857887268066,0.020473003387451172
Longest,300,7,300,299,516,3,0.9811417294057452,0.0,0.08901238441467285,0.020792722702026367
Longest,300,8,300,299,516,3,0.9811417294057452,0.0,0.08939552307128906,0.01987290382385254
Longest,300,9,300,299,516,3,0.9811417294057452,0.0,0.08540034294128418,0.019674062728881836
Longest,400,0,400,398,676,3,0.9803864678233621,0.0,0.0852198600769043,27.554038047790527
Longest,400,1,400,398,676,3,0.9803864678233621,0.0,0.10935235023498535,0.026194334030151367
Longest,400,2,400,398,676,3,0.9803864678233621,0.0,0.08748149871826172,0.026047706604003906
Longest,400,3,400,398,676,3,0.9803864678233621,0.0,0.08692073822021484,0.0255277156829834
Longest,400,4,400,398,676,3,0.9803864678233621,0.0,0.08908915519714355,0.02595996856689453
Longest,400,5,400,398,676,3,0.9803864678233621,0.0,0.08865952491760254,0.02568793296813965
Longest,400,6,400,398,676,3,0.9803864678233621,0.0,0.0881350040435791,0.02624034881591797
Longest,400,7,400,398,676,3,0.9803864678233621,0.0,0.0874943733215332,0.025499582290649414
Longest,400,8,400,398,676,3,0.9803864678233621,0.0,0.08794045448303223,0.026332378387451172
Longest,400,9,400,398,676,3,0.9803864678233621,0.0,0.08834552764892578,0.025400638580322266
Longest,500,0,500,497,833,3,0.9797338393791207,0.0,0.08744978904724121,23.492022275924683
Longest,500,1,500,497,833,3,0.9797338393791207,0.0,0.1004934310913086,0.03050971031188965
Longest,500,2,500,497,833,3,0.9797338393791207,0.0,0.08741188049316406,0.031222820281982422
Longest,500,3,500,497,833,3,0.9797338393791207,0.0,0.08919000625610352,0.030669450759887695
Longest,500,4,500,497,833,3,0.9797338393791207,0.0,0.08913803100585938,0.0299985408782959
Longest,500,5,500,497,833,3,0.9797338393791207,0.0,0.08650779724121094,0.030382156372070312
Longest,500,6,500,497,833,3,0.9797338393791207,0.0,0.08813786506652832,0.031045913696289062
Longest,500,7,500,497,833,3,0.9797338393791207,0.0,0.0887606143951416,0.03129720687866211
Longest,500,8,500,497,833,3,0.9797338393791207,0.0,0.0887451171875,0.030256032943725586
Longest,500,9,500,497,833,3,0.9797338393791207,0.0,0.08705329895019531,0.03013134002685547
