approach,sample_size,repetition,trace_variants,deviating_traces,total_deviations,num_deviating_activities,fitness,time_partitioning,time_sampling,time_alignments
Sequence,100,0,90,87,115,3,0.9708195889368181,1.2501556873321533,0.09141087532043457,12.83756160736084
Sequence,100,1,86,78,136,3,0.9716371220020855,1.2356231212615967,0.09620428085327148,17.719893217086792
Sequence,100,2,86,85,100,3,0.9687010954616588,1.2499840259552002,0.08492231369018555,7.084017992019653
Sequence,100,3,88,84,101,3,0.9723892837616184,1.2448718547821045,0.09139084815979004,9.21849775314331
Sequence,100,4,91,87,120,3,0.9643599643599644,1.2388601303100586,0.09097862243652344,6.35888147354126
Sequence,100,5,95,91,99,3,0.971730439748715,1.5220234394073486,0.09096169471740723,6.707814931869507
Sequence,100,6,95,90,140,3,0.9748201438848921,1.2375092506408691,0.10344743728637695,16.936268091201782
Sequence,100,7,78,88,95,3,0.9655172413793104,1.5503380298614502,0.08098745346069336,2.9889063835144043
Sequence,100,8,80,88,96,3,0.9690422444372783,1.2451422214508057,0.08264636993408203,5.218195676803589
Sequence,100,9,93,88,108,3,0.974624060150376,1.2441635131835938,0.09398508071899414,9.38094711303711
Sequence,200,0,170,170,206,3,0.9699182242990654,1.2357778549194336,0.17424535751342773,14.313882827758789
Sequence,200,1,183,172,286,3,0.9693100118038416,1.2445306777954102,0.1819148063659668,18.276565074920654
Sequence,200,2,168,172,191,3,0.9703139571028909,1.234635353088379,0.176774263381958,11.332334041595459
Sequence,200,3,159,171,224,3,0.9675315263081606,1.2369654178619385,0.16917657852172852,13.57599687576294
Sequence,200,4,182,169,265,3,0.9700936688861302,1.2470159530639648,0.18284821510314941,16.374986171722412
Sequence,200,5,165,174,245,3,0.965302365104093,1.2468054294586182,0.1733839511871338,8.38201355934143
Sequence,200,6,186,172,261,3,0.9652231845436375,1.2444791793823242,0.18348217010498047,12.859292984008789
Sequence,200,7,185,180,264,3,0.9753132597718347,1.5993945598602295,0.20075154304504395,23.64931297302246
Sequence,200,8,179,176,308,3,0.9619565217391304,1.2414696216583252,0.17497682571411133,14.021325588226318
Sequence,200,9,180,178,262,3,0.9696653930762996,1.2778141498565674,0.481534481048584,14.455666303634644
Sequence,300,0,268,269,330,3,0.9728417414204592,1.2581396102905273,0.2595951557159424,16.675819635391235
Sequence,300,1,272,259,380,3,0.9699271921494144,1.2651984691619873,0.2620844841003418,17.05801749229431
Sequence,300,2,247,269,400,3,0.9652958528544161,1.254249095916748,0.2408614158630371,14.31366515159607
Sequence,300,3,271,269,317,3,0.973714759535655,1.2613940238952637,0.25542497634887695,16.15580463409424
Sequence,300,4,257,255,334,3,0.9711845397291001,1.26206636428833,0.2347242832183838,9.917008399963379
Sequence,300,5,252,254,341,3,0.971228484643942,1.2600572109222412,0.24272489547729492,12.045188426971436
Sequence,300,6,246,249,311,3,0.9719794576087936,1.2581653594970703,0.2497541904449463,10.111369371414185
Sequence,300,7,260,263,352,3,0.968975850520007,1.2575578689575195,0.23969316482543945,9.64273452758789
Sequence,300,8,272,261,406,3,0.9725471634322808,1.2732138633728027,0.2635529041290283,16.842411756515503
Sequence,300,9,268,261,332,3,0.9757946923301254,1.261181354522705,0.24904203414916992,10.930973052978516
Sequence,400,0,358,340,397,3,0.9776338028169014,1.2572474479675293,0.3289318084716797,13.094001770019531
Sequence,400,1,353,349,466,3,0.9683316343866802,1.2674782276153564,0.2917044162750244,8.56084156036377
Sequence,400,2,342,346,475,3,0.9721374941342092,1.254476547241211,0.3142855167388916,9.463201999664307
Sequence,400,3,311,343,392,3,0.9694894146948941,1.2807257175445557,0.3011054992675781,5.09200382232666
Sequence,400,4,335,347,521,3,0.9633769155068185,1.26285982131958,0.29309821128845215,6.580113649368286
Sequence,400,5,357,353,567,3,0.9701547531319086,1.2574853897094727,0.3109867572784424,6.954522609710693
Sequence,400,6,352,348,420,3,0.9742062273536818,1.2638099193572998,0.307964563369751,7.823933362960815
Sequence,400,7,350,349,490,3,0.9695406228631814,1.2546484470367432,0.2858133316040039,5.217435598373413
Sequence,400,8,296,349,380,3,0.9691608505112806,1.2670683860778809,0.2839629650115967,2.4529311656951904
Sequence,400,9,353,346,438,3,0.976122982991714,1.270219087600708,0.30560803413391113,6.601561784744263
Sequence,500,0,451,447,670,3,0.9713000642535875,1.2723667621612549,0.38971686363220215,6.736174583435059
Sequence,500,1,439,438,541,3,0.971455706220651,1.2609567642211914,0.3692283630371094,4.8004255294799805
Sequence,500,2,405,425,622,3,0.9657507846484225,1.2571544647216797,0.34778594970703125,4.2090466022491455
Sequence,500,3,395,429,564,3,0.9670925958340627,1.2604453563690186,0.34629011154174805,3.4166438579559326
Sequence,500,4,430,425,594,3,0.9720338983050848,1.2553737163543701,0.35790181159973145,3.856135606765747
Sequence,500,5,438,425,603,3,0.9737586492014448,1.2608733177185059,0.37920331954956055,6.115914821624756
Sequence,500,6,448,438,637,3,0.9733973689705575,1.2520694732666016,0.3765561580657959,3.9844703674316406
Sequence,500,7,452,443,562,3,0.9740966076696165,1.2624411582946777,0.3661916255950928,2.7058019638061523
Sequence,500,8,349,441,514,3,0.9685434516523868,1.5638306140899658,0.3307685852050781,1.5883829593658447
Sequence,500,9,402,422,665,3,0.9628242397137746,1.298018455505371,0.33554744720458984,1.5820419788360596
