approach,sample_size,repetition,trace_variants,deviating_traces,total_deviations,num_deviating_activities,fitness,time_partitioning,time_sampling,time_alignments
Random,100,0,95,16,20,7,0.9965403909358242,0.0,0.00015616416931152344,31.628557682037354
Random,100,1,90,14,20,8,0.9964241015555159,0.0,9.799003601074219e-05,28.88946008682251
Random,100,2,85,10,21,5,0.9963642659279779,0.0,0.0001442432403564453,32.897032260894775
Random,100,3,95,13,29,7,0.9954835695374552,0.0,0.00019860267639160156,73.41864323616028
Random,100,4,92,20,42,8,0.9931057124097177,0.0,8.344650268554688e-05,46.24398422241211
Random,100,5,99,12,25,7,0.9957140408023316,0.0,0.0002346038818359375,31.32150411605835
Random,100,6,95,16,38,9,0.9941103533787973,0.0,8.440017700195312e-05,101.39505648612976
Random,100,7,95,16,22,5,0.9960474308300395,0.0,0.0002543926239013672,24.20471978187561
Random,100,8,91,11,21,5,0.9962765957446809,0.0,9.989738464355469e-05,36.591503620147705
Random,100,9,95,13,62,5,0.992943318916458,0.0,0.0002300739288330078,13886.49979543686
Random,200,0,177,23,42,9,0.9963727437602556,0.0,0.00042891502380371094,76.32372760772705
Random,200,1,179,23,44,8,0.9961284645842499,0.0,0.00045180320739746094,72.97731614112854
Random,200,2,181,27,49,10,0.9957729468599034,0.0,0.00042700767517089844,78.69283604621887
Random,200,3,183,25,38,9,0.9968214136344625,0.0,0.0004382133483886719,97.4153323173523
Random,200,4,178,35,65,9,0.9946276551781139,0.0,0.00044918060302734375,137.80987811088562
Random,200,5,178,38,72,11,0.9939829516964733,0.0,0.0004239082336425781,94.52143716812134
Random,200,6,181,23,37,6,0.9967489675775415,0.0,0.0004303455352783203,114.5823142528534
Random,200,7,180,28,49,10,0.9957343083485679,0.0,0.0004506111145019531,77.97568702697754
Random,200,8,183,26,39,8,0.9965813464235624,0.0,0.0004322528839111328,46.43956184387207
Random,200,9,174,20,34,8,0.9969247467438495,0.0,0.00027489662170410156,44.500410079956055
Random,300,0,269,44,83,9,0.9952639087018544,0.0,0.0004763603210449219,284.78421092033386
Random,300,1,269,40,81,11,0.9960549386323787,0.0,0.00026154518127441406,3135.7687516212463
Random,300,2,255,33,48,7,0.9971143441144643,0.0,0.0006015300750732422,82.55051159858704
Random,300,3,272,30,67,8,0.9962420775141623,0.0,0.00031876564025878906,121.13378238677979
Random,300,4,263,46,78,8,0.9954727494340937,0.0,0.0005564689636230469,108.3658139705658
Random,300,5,274,48,92,10,0.9948617704551801,0.0,0.0006077289581298828,127.48630166053772
Random,300,6,255,34,63,8,0.9964118920150359,0.0,0.0003981590270996094,146.4178524017334
Random,300,7,264,45,96,8,0.9947586809347019,0.0,0.0006213188171386719,127.39041447639465
Random,300,8,259,31,50,8,0.9971542401821286,0.0,0.0005738735198974609,485.97856044769287
Random,300,9,261,39,80,9,0.9955429271825729,0.0,0.0003402233123779297,181.84768056869507
Random,400,0,338,47,80,9,0.9964822794828951,0.0,0.0007395744323730469,114.91296744346619
Random,400,1,349,56,88,8,0.9962304562004712,0.0,0.0007519721984863281,194.25557470321655
Random,400,2,345,46,86,9,0.9961840528908018,0.0,0.0007450580596923828,131.4441213607788
Random,400,3,350,48,91,10,0.9961017820424949,0.0,0.0007131099700927734,158.84336948394775
Random,400,4,353,36,63,7,0.9971965112139551,0.0,0.0007317066192626953,82.66719007492065
Random,400,5,347,50,85,12,0.9963981524640875,0.0,0.0003643035888671875,117.39883923530579
Random,400,6,343,46,90,10,0.9960564367715362,0.0,0.0007631778717041016,119.95279359817505
Random,400,7,349,64,122,11,0.9949047778149014,0.0,0.0005977153778076172,133.78652715682983
Random,400,8,349,54,100,9,0.9957553376628889,0.0,0.0002918243408203125,123.43843722343445
Random,400,9,350,50,90,10,0.9961027151084745,0.0,0.0007214546203613281,132.5368995666504
Random,500,0,418,71,135,10,0.9954339443955895,0.0,0.0005800724029541016,217.73619508743286
Random,500,1,420,61,126,12,0.99553413199121,0.0,0.0008876323699951172,119.84103965759277
Random,500,2,434,63,121,10,0.9957751396648045,0.0,0.0008649826049804688,138.77854442596436
Random,500,3,425,67,113,10,0.9961161711634301,0.0,0.0008881092071533203,130.2798056602478
Random,500,4,425,58,112,10,0.9962403491104398,0.0,0.0007193088531494141,822.2501726150513
Random,500,5,427,57,111,10,0.9962321792260692,0.0,0.0005669593811035156,176.89992713928223
Random,500,6,437,64,118,11,0.9959251329511707,0.0,0.0005726814270019531,143.6489646434784
Random,500,7,417,55,91,9,0.9968458632283109,0.0,0.0004131793975830078,88.11363577842712
Random,500,8,423,53,91,9,0.9967569493941554,0.0,0.0008933544158935547,126.68589067459106
Random,500,9,433,61,122,11,0.9959017770163593,0.0,0.0005762577056884766,147.2338752746582
