approach,sample_size,repetition,trace_variants,deviating_traces,total_deviations,num_deviating_activities,fitness,time_partitioning,time_sampling,time_alignments
Longest,100,0,100,99,481,9,0.9898418196025427,0.0,1.5143694877624512,33376.993467092514
Longest,100,1,100,99,481,9,0.9898418196025427,0.0,1.2305335998535156,0.04622173309326172
Longest,100,2,100,99,481,9,0.9898418196025427,0.0,1.2169280052185059,0.04484248161315918
Longest,100,3,100,99,481,9,0.9898418196025427,0.0,1.2233250141143799,0.04534578323364258
Longest,100,4,100,99,481,9,0.9898418196025427,0.0,1.2246174812316895,0.04448747634887695
Longest,100,5,100,99,481,9,0.9898418196025427,0.0,1.2175493240356445,0.04444146156311035
Longest,100,6,100,99,481,9,0.9898418196025427,0.0,1.2179780006408691,0.044623613357543945
Longest,100,7,100,99,481,9,0.9898418196025427,0.0,2.9280970096588135,0.04538917541503906
Longest,100,8,100,99,481,9,0.9898418196025427,0.0,1.2207551002502441,0.04430699348449707
Longest,100,9,100,99,481,9,0.9898418196025427,0.0,1.2186088562011719,0.044924020767211914
Longest,200,0,200,199,862,11,0.9881321162556964,0.0,1.2229888439178467,1841.297535419464
Longest,200,1,200,199,862,11,0.9881321162556964,0.0,1.2482221126556396,0.07007622718811035
Longest,200,2,200,199,862,11,0.9881321162556964,0.0,1.2270152568817139,0.06812286376953125
Longest,200,3,200,199,862,11,0.9881321162556964,0.0,1.2236783504486084,0.06779909133911133
Longest,200,4,200,199,862,11,0.9881321162556964,0.0,1.224369764328003,0.06787967681884766
Longest,200,5,200,199,862,11,0.9881321162556964,0.0,2.988312244415283,0.06869316101074219
Longest,200,6,200,199,862,11,0.9881321162556964,0.0,1.2245855331420898,0.06757235527038574
Longest,200,7,200,199,862,11,0.9881321162556964,0.0,1.2181408405303955,0.06728434562683105
Longest,200,8,200,199,862,11,0.9881321162556964,0.0,1.227299690246582,0.06763982772827148
Longest,200,9,200,199,862,11,0.9881321162556964,0.0,1.2155838012695312,0.06636214256286621
Longest,300,0,300,292,1209,14,0.9870509607351713,0.0,1.2258050441741943,1064.8837049007416
Longest,300,1,300,292,1209,14,0.9870509607351713,0.0,1.228717565536499,0.08890104293823242
Longest,300,2,300,292,1209,14,0.9870509607351713,0.0,3.036834239959717,0.08859801292419434
Longest,300,3,300,292,1209,14,0.9870509607351713,0.0,1.2203993797302246,0.08809304237365723
Longest,300,4,300,292,1209,14,0.9870509607351713,0.0,1.230893611907959,0.08763384819030762
Longest,300,5,300,292,1209,14,0.9870509607351713,0.0,1.2227098941802979,0.08733606338500977
Longest,300,6,300,292,1209,14,0.9870509607351713,0.0,1.2239208221435547,0.0869133472442627
Longest,300,7,300,292,1209,14,0.9870509607351713,0.0,1.2192323207855225,0.08731603622436523
Longest,300,8,300,292,1209,14,0.9870509607351713,0.0,1.2189640998840332,0.08773279190063477
Longest,300,9,300,292,1209,14,0.9870509607351713,0.0,1.2260026931762695,0.0877535343170166
Longest,400,0,400,383,1551,16,0.9861318502490187,0.0,1.221989631652832,790.03444480896
Longest,400,1,400,383,1551,16,0.9861318502490187,0.0,1.2369709014892578,0.10507726669311523
Longest,400,2,400,383,1551,16,0.9861318502490187,0.0,1.21828293800354,0.10491538047790527
Longest,400,3,400,383,1551,16,0.9861318502490187,0.0,1.2240445613861084,0.1040809154510498
Longest,400,4,400,383,1551,16,0.9861318502490187,0.0,3.008060932159424,0.10356974601745605
Longest,400,5,400,383,1551,16,0.9861318502490187,0.0,1.2317094802856445,0.10415387153625488
Longest,400,6,400,383,1551,16,0.9861318502490187,0.0,1.217315912246704,0.10365438461303711
Longest,400,7,400,383,1551,16,0.9861318502490187,0.0,1.225029706954956,0.10382795333862305
Longest,400,8,400,383,1551,16,0.9861318502490187,0.0,1.226181983947754,0.10568976402282715
Longest,400,9,400,383,1551,16,0.9861318502490187,0.0,1.223076343536377,0.10491108894348145
Longest,500,0,500,471,1848,16,0.9856559603831286,0.0,1.2234852313995361,595.092127084732
Longest,500,1,500,471,1848,16,0.9856559603831286,0.0,1.2319972515106201,0.12066078186035156
Longest,500,2,500,471,1848,16,0.9856559603831286,0.0,1.22550368309021,0.11830496788024902
Longest,500,3,500,471,1848,16,0.9856559603831286,0.0,1.2210783958435059,0.11913251876831055
Longest,500,4,500,471,1848,16,0.9856559603831286,0.0,1.2204539775848389,0.11763358116149902
Longest,500,5,500,471,1848,16,0.9856559603831286,0.0,1.2269153594970703,0.1189720630645752
Longest,500,6,500,471,1848,16,0.9856559603831286,0.0,1.2215635776519775,0.11937761306762695
Longest,500,7,500,471,1848,16,0.9856559603831286,0.0,1.2217588424682617,0.11731505393981934
Longest,500,8,500,471,1848,16,0.9856559603831286,0.0,1.221735954284668,0.1191563606262207
Longest,500,9,500,471,1848,16,0.9856559603831286,0.0,1.227630853652954,0.12036967277526855
