approach,sample_size,repetition,trace_variants,deviating_traces,total_deviations,num_deviating_activities,fitness,time_partitioning,time_sampling,time_alignments
Longest,100,0,100,5,5,4,0.9987222080245336,0.0,0.010844707489013672,1.7898640632629395
Longest,100,1,100,5,5,4,0.9987222080245336,0.0,0.009380340576171875,0.003287792205810547
Longest,100,2,100,5,5,4,0.9987222080245336,0.0,0.0075321197509765625,0.0029392242431640625
Longest,100,3,100,5,5,4,0.9987222080245336,0.0,0.0072667598724365234,0.00269317626953125
Longest,100,4,100,5,5,4,0.9987222080245336,0.0,0.007354021072387695,0.002550363540649414
Longest,100,5,100,5,5,4,0.9987222080245336,0.0,0.0069255828857421875,0.0025169849395751953
Longest,100,6,100,5,5,4,0.9987222080245336,0.0,0.006810188293457031,0.002448558807373047
Longest,100,7,100,5,5,4,0.9987222080245336,0.0,0.006833076477050781,0.0024597644805908203
Longest,100,8,100,5,5,4,0.9987222080245336,0.0,0.007500648498535156,0.0025637149810791016
Longest,100,9,100,5,5,4,0.9987222080245336,0.0,0.007031917572021484,0.002549409866333008
Longest,200,0,200,11,11,5,0.9982040816326531,0.0,0.009435415267944336,0.829371452331543
Longest,200,1,200,11,11,5,0.9982040816326531,0.0,0.008482933044433594,0.004807710647583008
Longest,200,2,200,11,11,5,0.9982040816326531,0.0,0.007789134979248047,0.004300355911254883
Longest,200,3,200,11,11,5,0.9982040816326531,0.0,0.007390260696411133,0.003843545913696289
Longest,200,4,200,11,11,5,0.9982040816326531,0.0,0.008061408996582031,0.003853321075439453
Longest,200,5,200,11,11,5,0.9982040816326531,0.0,0.007154703140258789,0.0037004947662353516
Longest,200,6,200,11,11,5,0.9982040816326531,0.0,0.007273435592651367,0.00408172607421875
Longest,200,7,200,11,11,5,0.9982040816326531,0.0,0.007185220718383789,0.0037147998809814453
Longest,200,8,200,11,11,5,0.9982040816326531,0.0,0.006858348846435547,0.0039920806884765625
Longest,200,9,200,11,11,5,0.9982040816326531,0.0,0.008440017700195312,0.004434823989868164
Longest,300,0,300,20,20,5,0.9974978105842612,0.0,0.007918357849121094,0.7147040367126465
Longest,300,1,300,20,20,5,0.9974978105842612,0.0,0.008418560028076172,0.0061032772064208984
Longest,300,2,300,20,20,5,0.9974978105842612,0.0,0.007046699523925781,0.00481414794921875
Longest,300,3,300,20,20,5,0.9974978105842612,0.0,0.007924795150756836,0.004771709442138672
Longest,300,4,300,20,20,5,0.9974978105842612,0.0,0.00659942626953125,0.004692792892456055
Longest,300,5,300,20,20,5,0.9974978105842612,0.0,0.006598711013793945,0.0046765804290771484
Longest,300,6,300,20,20,5,0.9974978105842612,0.0,0.006339311599731445,0.004515409469604492
Longest,300,7,300,20,20,5,0.9974978105842612,0.0,0.006967067718505859,0.004552364349365234
Longest,300,8,300,20,20,5,0.9974978105842612,0.0,0.006379604339599609,0.004878997802734375
Longest,300,9,300,20,20,5,0.9974978105842612,0.0,0.006804227828979492,0.004846811294555664
Longest,400,0,400,25,25,7,0.9974250695231228,0.0,0.006589651107788086,0.5783944129943848
Longest,400,1,400,25,25,7,0.9974250695231228,0.0,0.008419036865234375,0.008625030517578125
Longest,400,2,400,25,25,7,0.9974250695231228,0.0,0.008630037307739258,0.007657051086425781
Longest,400,3,400,25,25,7,0.9974250695231228,0.0,0.008355140686035156,0.009512901306152344
Longest,400,4,400,25,25,7,0.9974250695231228,0.0,0.008809328079223633,0.009552955627441406
Longest,400,5,400,25,25,7,0.9974250695231228,0.0,0.007848024368286133,0.0076749324798583984
Longest,400,6,400,25,25,7,0.9974250695231228,0.0,0.007444858551025391,0.007010459899902344
Longest,400,7,400,25,25,7,0.9974250695231228,0.0,0.007737159729003906,0.009396076202392578
Longest,400,8,400,25,25,7,0.9974250695231228,0.0,0.008887767791748047,0.009742975234985352
Longest,400,9,400,25,25,7,0.9974250695231228,0.0,0.008161067962646484,0.008161544799804688
Longest,500,0,500,27,27,7,0.9976055338772615,0.0,0.007934808731079102,0.6089558601379395
Longest,500,1,500,27,27,7,0.9976055338772615,0.0,0.008026838302612305,0.009874105453491211
Longest,500,2,500,27,27,7,0.9976055338772615,0.0,0.008579254150390625,0.011788129806518555
Longest,500,3,500,27,27,7,0.9976055338772615,0.0,0.00906682014465332,0.011335134506225586
Longest,500,4,500,27,27,7,0.9976055338772615,0.0,0.007254362106323242,0.008342266082763672
Longest,500,5,500,27,27,7,0.9976055338772615,0.0,0.006364107131958008,0.00734400749206543
Longest,500,6,500,27,27,7,0.9976055338772615,0.0,0.0060558319091796875,0.00707697868347168
Longest,500,7,500,27,27,7,0.9976055338772615,0.0,0.006184816360473633,0.00723719596862793
Longest,500,8,500,27,27,7,0.9976055338772615,0.0,0.0062367916107177734,0.0072672367095947266
Longest,500,9,500,27,27,7,0.9976055338772615,0.0,0.0063190460205078125,0.007292270660400391
