approach,sample_size,repetition,trace_variants,deviating_traces,total_deviations,num_deviating_activities,fitness,time_partitioning,time_sampling,time_alignments
Random,100,0,92,3,3,3,0.9981905910735827,0.0,0.00013184547424316406,0.5434691905975342
Random,100,1,93,5,5,3,0.9968474148802018,0.0,8.416175842285156e-05,0.5174453258514404
Random,100,2,93,5,5,2,0.9969586374695864,0.0,7.224082946777344e-05,0.5460889339447021
Random,100,3,95,6,6,4,0.9964664310954063,0.0,8.487701416015625e-05,0.5183136463165283
Random,100,4,95,7,7,5,0.9958775029446407,0.0,0.00010704994201660156,0.40930700302124023
Random,100,5,97,8,8,5,0.9953783939919122,0.0,8.20159912109375e-05,0.40569090843200684
Random,100,6,94,8,8,4,0.9951040391676866,0.0,7.915496826171875e-05,0.25017690658569336
Random,100,7,94,8,8,4,0.9951632406287787,0.0,8.177757263183594e-05,0.24513745307922363
Random,100,8,96,5,5,3,0.9968553459119497,0.0,0.0002644062042236328,0.2455456256866455
Random,100,9,91,6,6,5,0.9965596330275229,0.0,0.00016927719116210938,0.35387444496154785
Random,200,0,180,13,13,5,0.9960305343511451,0.0,0.00011324882507324219,0.2137446403503418
Random,200,1,171,15,15,7,0.9952486537852392,0.0,0.00010991096496582031,0.28452253341674805
Random,200,2,174,8,8,5,0.9975384615384615,0.0,0.0001125335693359375,0.21935606002807617
Random,200,3,184,14,14,5,0.9961046188091264,0.0,0.00019407272338867188,0.28082895278930664
Random,200,4,181,11,11,7,0.9965870307167235,0.0,0.00011181831359863281,0.13474678993225098
Random,200,5,179,12,12,6,0.996142719382835,0.0,0.0001068115234375,0.10205292701721191
Random,200,6,182,20,20,8,0.994061757719715,0.0,0.00011539459228515625,0.1750476360321045
Random,200,7,181,13,13,4,0.9961298005358737,0.0,0.00011396408081054688,0.08362984657287598
Random,200,8,179,10,10,6,0.9969484284406469,0.0,0.00010967254638671875,0.07782173156738281
Random,200,9,180,15,15,5,0.9955290611028316,0.0,0.00010848045349121094,0.13028359413146973
Random,300,0,260,17,17,8,0.9964708324683413,0.0,0.0001571178436279297,0.1790616512298584
Random,300,1,261,13,13,6,0.9974732750242954,0.0,0.00015163421630859375,0.04177522659301758
Random,300,2,265,17,17,8,0.9966376582278481,0.0,0.00016188621520996094,0.11845922470092773
Random,300,3,251,17,17,7,0.9965739621120516,0.0,0.00015425682067871094,0.03595399856567383
Random,300,4,265,17,17,7,0.9965600971266694,0.0,0.00016188621520996094,0.004304409027099609
Random,300,5,270,20,20,7,0.996202050892518,0.0,0.00013756752014160156,0.014085531234741211
Random,300,6,260,18,18,7,0.996271748135874,0.0,0.00013303756713867188,0.011904239654541016
Random,300,7,259,21,21,8,0.9957403651115618,0.0,0.00013518333435058594,0.020673751831054688
Random,300,8,270,24,24,8,0.994937776840329,0.0,0.00012874603271484375,0.003571748733520508
Random,300,9,262,14,14,7,0.9971411068000817,0.0,0.00012373924255371094,0.003437042236328125
Random,400,0,351,29,29,7,0.9956716417910447,0.0,0.00011801719665527344,0.009536981582641602
Random,400,1,344,28,28,7,0.9957913723132421,0.0,0.00010967254638671875,0.004372358322143555
Random,400,2,349,22,22,8,0.9967021436066557,0.0,0.000110626220703125,0.010390281677246094
Random,400,3,344,26,26,8,0.995916444165227,0.0,0.00010824203491210938,0.004090785980224609
Random,400,4,342,23,23,7,0.9965251548572291,0.0,0.00010800361633300781,0.004470348358154297
Random,400,5,347,26,26,9,0.9960516324981017,0.0,0.00011110305786132812,0.00422978401184082
Random,400,6,344,20,20,7,0.9968934451693072,0.0,0.0001068115234375,0.004053354263305664
Random,400,7,356,27,27,8,0.9959134251551385,0.0,0.00010895729064941406,0.004122495651245117
Random,400,8,354,21,21,5,0.9969135802469136,0.0,0.00010633468627929688,0.004200935363769531
Random,400,9,352,23,23,8,0.996567676466199,0.0,0.00010991096496582031,0.004292726516723633
Random,500,0,431,36,36,9,0.9958124927300221,0.0,0.0001304149627685547,0.0057451725006103516
Random,500,1,419,31,31,8,0.9963678968951377,0.0,0.0001418590545654297,0.005823612213134766
Random,500,2,424,37,37,9,0.9955416315218701,0.0,0.0001385211944580078,0.005859851837158203
Random,500,3,424,31,31,8,0.9961902421039696,0.0,0.0001366138458251953,0.005754709243774414
Random,500,4,421,31,31,9,0.9961332169140577,0.0,0.00013756752014160156,0.005702972412109375
Random,500,5,420,29,29,9,0.9964298904345685,0.0,0.00013494491577148438,0.005693912506103516
Random,500,6,431,34,34,7,0.9958692746932329,0.0,0.0001957416534423828,0.007192134857177734
Random,500,7,431,32,32,9,0.9961854809870068,0.0,0.00014090538024902344,0.006482839584350586
Random,500,8,416,35,35,9,0.995671531041306,0.0,0.0001423358917236328,0.00597381591796875
Random,500,9,431,29,29,7,0.9964351567301782,0.0,0.00013875961303710938,0.0059926509857177734
