approach,sample_size,repetition,trace_variants,deviating_traces,total_deviations,num_deviating_activities,fitness,time_partitioning,time_sampling,time_alignments
Sequence,100,0,95,7,7,5,0.9960159362549801,0.1014089584350586,0.0634310245513916,0.6854989528656006
Sequence,100,1,93,10,10,7,0.9951573849878934,0.1004178524017334,0.0755159854888916,0.7212226390838623
Sequence,100,2,98,4,4,4,0.9976331360946745,0.09886574745178223,0.06142783164978027,0.48103928565979004
Sequence,100,3,98,9,9,5,0.995,0.09996962547302246,0.06505370140075684,0.4239540100097656
Sequence,100,4,89,6,6,3,0.9964476021314387,0.1903233528137207,0.06232094764709473,0.32161808013916016
Sequence,100,5,88,5,5,3,0.9968152866242038,0.09935498237609863,0.05257439613342285,0.2391984462738037
Sequence,100,6,92,3,3,3,0.9983089064261556,0.18313145637512207,0.055655717849731445,0.3018229007720947
Sequence,100,7,93,7,7,6,0.995345744680851,0.09742212295532227,0.05820870399475098,0.2674708366394043
Sequence,100,8,91,3,3,2,0.9983164983164983,0.09952259063720703,0.057847023010253906,0.3244795799255371
Sequence,100,9,97,8,8,6,0.9954233409610984,0.09808874130249023,0.061087608337402344,0.24973773956298828
Sequence,200,0,175,16,16,6,0.9948453608247423,0.09924435615539551,0.11941742897033691,0.39304327964782715
Sequence,200,1,179,10,10,6,0.9969604863221885,0.10164952278137207,0.11127114295959473,0.26270365715026855
Sequence,200,2,180,10,10,5,0.9967824967824968,0.21900725364685059,0.10659408569335938,0.20997118949890137
Sequence,200,3,185,13,13,7,0.9963483146067416,0.09815716743469238,0.11255693435668945,0.2333838939666748
Sequence,200,4,185,12,12,6,0.996116504854369,0.09751415252685547,0.10969996452331543,0.3139607906341553
Sequence,200,5,185,12,12,7,0.9963178889229826,0.09595227241516113,0.11052656173706055,0.09566307067871094
Sequence,200,6,174,11,11,5,0.9965408805031446,0.09708428382873535,0.10778999328613281,0.06902837753295898
Sequence,200,7,180,10,10,4,0.9969126273541217,0.17118072509765625,0.1037149429321289,0.0928950309753418
Sequence,200,8,181,13,13,4,0.9961367013372957,0.09573864936828613,0.10790514945983887,0.0654764175415039
Sequence,200,9,174,14,14,5,0.995973540408398,0.09778642654418945,0.11143922805786133,0.07596755027770996
Sequence,300,0,252,10,10,6,0.9979683055668428,0.16597843170166016,0.16403841972351074,0.05836749076843262
Sequence,300,1,253,20,20,8,0.9958600703788035,0.09714007377624512,0.15066266059875488,0.037036895751953125
Sequence,300,2,266,19,19,6,0.9960416666666667,0.09701251983642578,0.16056132316589355,0.042214155197143555
Sequence,300,3,265,19,19,6,0.9962568951930654,0.09663701057434082,0.15899062156677246,0.012752532958984375
Sequence,300,4,266,20,20,6,0.9958402662229617,0.17364048957824707,0.16584157943725586,0.0278472900390625
Sequence,300,5,265,21,21,6,0.9957865168539326,0.09629154205322266,0.15915322303771973,0.01620793342590332
Sequence,300,6,239,19,19,7,0.9956531686113017,0.10491323471069336,0.15685153007507324,0.015732288360595703
Sequence,300,7,267,20,20,7,0.9960876369327074,0.09682440757751465,0.17225003242492676,0.008961915969848633
Sequence,300,8,260,15,15,6,0.9969555510452608,0.1844627857208252,0.15256214141845703,0.003205537796020508
Sequence,300,9,261,22,22,9,0.9954582989265071,0.09640789031982422,0.1613752841949463,0.010383844375610352
Sequence,400,0,332,28,28,4,0.995582202587567,0.0963294506072998,0.24054598808288574,0.00975656509399414
Sequence,400,1,345,32,32,8,0.9951727259013425,0.09777164459228516,0.23180556297302246,0.004715919494628906
Sequence,400,2,349,29,29,8,0.9954345088161209,0.16430282592773438,0.22797703742980957,0.009691953659057617
Sequence,400,3,344,28,28,6,0.9956447347954581,0.09692883491516113,0.22442126274108887,0.004508018493652344
Sequence,400,4,347,27,27,9,0.9959689459540161,0.0972146987915039,0.2421271800994873,0.007192850112915039
Sequence,400,5,347,26,26,9,0.9960564234794479,0.09925699234008789,0.23138976097106934,0.0048558712005615234
Sequence,400,6,353,28,28,8,0.995987963891675,0.1843564510345459,0.21893668174743652,0.004926204681396484
Sequence,400,7,335,30,30,9,0.9955562138942379,0.09717106819152832,0.21972393989562988,0.004800081253051758
Sequence,400,8,341,20,20,7,0.996916910744566,0.0969843864440918,0.2225174903869629,0.004502534866333008
Sequence,400,9,346,23,23,8,0.9964965727341965,0.09709739685058594,0.22783374786376953,0.004621982574462891
Sequence,500,0,425,32,32,7,0.9961999762498516,0.16812610626220703,0.2815053462982178,0.005858182907104492
Sequence,500,1,422,36,36,8,0.9955056179775281,0.0984957218170166,0.2950460910797119,0.005742311477661133
Sequence,500,2,410,27,27,7,0.9967753493371552,0.09637594223022461,0.3003864288330078,0.0060312747955322266
Sequence,500,3,416,35,35,9,0.9958273724368145,0.09679603576660156,0.29163503646850586,0.006289243698120117
Sequence,500,4,423,24,24,6,0.9970252850768468,0.1891481876373291,0.28261613845825195,0.0057981014251708984
Sequence,500,5,426,36,36,7,0.9954921111945906,0.09710836410522461,0.2871742248535156,0.005673646926879883
Sequence,500,6,430,34,34,9,0.9959432048681541,0.09839963912963867,0.29660797119140625,0.0060160160064697266
Sequence,500,7,428,31,31,9,0.996192581675264,0.09700131416320801,0.2831754684448242,0.005817413330078125
Sequence,500,8,426,33,33,8,0.9958127141225733,0.1708226203918457,0.28928661346435547,0.005665779113769531
Sequence,500,9,428,31,31,9,0.9962014459012376,0.09791779518127441,0.2776803970336914,0.005782604217529297
