approach,sample_size,repetition,trace_variants,deviating_traces,total_deviations,num_deviating_activities,fitness,time_partitioning,time_sampling,time_alignments
Sequence,100,0,97,61,117,8,0.9839373970345964,11.799545288085938,1.042726993560791,71.23572897911072
Sequence,100,1,94,55,79,8,0.9874463689814079,11.978899002075195,1.0042803287506104,64.88917517662048
Sequence,100,2,92,19,21,5,0.9962546816479401,11.95963978767395,0.9470310211181641,24.55407977104187
Sequence,100,3,54,29,29,3,0.9945662357129473,11.875925064086914,0.8755655288696289,11.849171876907349
Sequence,100,4,93,21,36,9,0.994475138121547,11.818601369857788,1.0315711498260498,144.8979151248932
Sequence,100,5,51,72,72,2,0.9871221606152746,12.085421085357666,0.8593132495880127,11.61334490776062
Sequence,100,6,96,49,109,7,0.9870745879283767,12.08103084564209,3.3212697505950928,126.42670440673828
Sequence,100,7,64,33,33,3,0.994027149321267,14.718060731887817,0.8858294486999512,12.072875261306763
Sequence,100,8,83,45,68,7,0.9867549668874173,11.799513101577759,0.8978970050811768,26.955495595932007
Sequence,100,9,86,41,70,10,0.987546699875467,11.854464054107666,0.9165735244750977,105.40153694152832
Sequence,200,0,189,94,123,7,0.9905099915130006,14.410765647888184,1.9312784671783447,88.10093474388123
Sequence,200,1,194,121,298,9,0.9818381277425646,11.850388765335083,2.278937339782715,306.4183506965637
Sequence,200,2,189,93,164,8,0.9878886345173916,11.835887670516968,2.072577953338623,144.36647772789001
Sequence,200,3,189,59,122,10,0.9911938790241086,11.854239702224731,2.115032196044922,427.732661485672
Sequence,200,4,194,101,262,8,0.9853737509071624,14.597624063491821,2.3052785396575928,404.6436400413513
Sequence,200,5,174,54,119,11,0.9906040268456375,11.896639585494995,1.9851534366607666,124.39189600944519
Sequence,200,6,88,129,136,5,0.9876532001815705,11.904443979263306,1.6681787967681885,20.3803288936615
Sequence,200,7,99,63,72,5,0.9934894655936342,11.949786901473999,3.867154359817505,14.779314041137695
Sequence,200,8,156,103,142,7,0.9894227188081937,11.863240957260132,1.8896372318267822,101.40692567825317
Sequence,200,9,189,80,164,7,0.9873437258836241,12.009111404418945,1.9761292934417725,100.16967678070068
Sequence,300,0,277,94,218,9,0.9893021886348022,11.779677391052246,3.1691083908081055,268.5979347229004
Sequence,300,1,280,109,236,10,0.9884200196270854,14.559539794921875,3.075275182723999,228.33428311347961
Sequence,300,2,253,89,160,10,0.9914232109354061,11.803694009780884,2.972435712814331,145.95323991775513
Sequence,300,3,277,170,393,9,0.9829825928812679,11.920056104660034,3.097658157348633,213.36398124694824
Sequence,300,4,275,128,255,9,0.9879381297005818,11.868484258651733,3.0462353229522705,187.43250679969788
Sequence,300,5,275,138,234,8,0.9880502502298029,14.532228946685791,2.823270082473755,93.55834412574768
Sequence,300,6,280,133,297,8,0.9859647464675583,11.80297327041626,2.9899351596832275,173.953688621521
Sequence,300,7,273,122,271,10,0.9882668744858639,14.443745613098145,3.1254279613494873,301.4422974586487
Sequence,300,8,287,201,472,7,0.9803815619934328,11.926710367202759,3.0001065731048584,176.62924075126648
Sequence,300,9,285,118,256,10,0.9891151834686849,14.548282146453857,3.1758627891540527,238.15711951255798
Sequence,400,0,267,172,312,10,0.9888487794417241,14.599854707717896,3.9197418689727783,255.36814951896667
Sequence,400,1,372,205,480,8,0.9846713929871623,11.909566402435303,4.205133438110352,379.0778386592865
Sequence,400,2,348,213,382,12,0.9854448466374548,11.869969606399536,3.7430286407470703,89.33984375
Sequence,400,3,356,163,299,11,0.9891893846265095,14.540841817855835,3.9762182235717773,145.8041636943817
Sequence,400,4,375,186,344,9,0.9886258431424415,11.889173984527588,4.061416387557983,154.3208408355713
Sequence,400,5,381,212,646,12,0.9833079248598228,14.579817056655884,4.777810573577881,14697.807749032974
Sequence,400,6,361,146,247,10,0.9899947340705635,11.864456415176392,3.975396156311035,87.29310917854309
Sequence,400,7,365,214,447,11,0.9860452047952047,11.823030233383179,4.234451770782471,418.230420589447
Sequence,400,8,358,144,278,11,0.9894018527696238,11.93884539604187,4.036573648452759,236.68449354171753
Sequence,400,9,329,189,420,7,0.9844513549533541,11.992754697799683,3.864375114440918,110.75067281723022
Sequence,500,0,452,215,463,12,0.9858751029622624,11.934563159942627,5.042705297470093,139.80786991119385
Sequence,500,1,467,258,518,9,0.9867492069988745,11.909138202667236,5.23570442199707,205.06204414367676
Sequence,500,2,454,183,366,12,0.9894451493828584,14.738670825958252,4.970377206802368,98.69107031822205
Sequence,500,3,452,199,361,12,0.9889093701996928,11.856607437133789,4.7953877449035645,82.28038620948792
Sequence,500,4,385,215,282,11,0.9914270079649784,11.989953756332397,4.8836352825164795,87.70770788192749
Sequence,500,5,421,235,426,10,0.9873526704865956,11.958904027938843,4.769775390625,85.28875398635864
Sequence,500,6,461,218,434,10,0.9871086556169429,12.00344967842102,4.874928712844849,135.1889979839325
Sequence,500,7,444,223,574,12,0.9845316373827746,14.700865268707275,5.132006406784058,375.9332537651062
Sequence,500,8,471,290,766,10,0.981716631659347,11.899470567703247,5.3802649974823,188.3409583568573
Sequence,500,9,460,244,519,9,0.9859794148634411,11.88923978805542,5.093621015548706,302.7592725753784
